Nome,Preço T,Preço D,Categoria
Kaiak Desodorante Colônia Masculino,"R$ 155,90","R$ 77,90",Kaiak
Natura Homem Desodorante Colônia Masculino,"R$ 169,90","R$ 84,90",Natura Homem
Essencial Exclusivo Deo Parfum Masculino,"R$ 239,00","R$ 119,90",Essencial
Kaiak Pulso Masculino Desodorante Colônia,"R$ 155,90","R$ 77,90",Kaiak
Meu Primeiro Humor Desodorante Colônia,"R$ 134,90","R$ 66,90",Humor
Luna Desodorante Colônia,"R$ 157,90","R$ 78,95",Luna
Kaiak Oceano Desodorante Colônia Masculino,"R$ 155,90","R$ 77,95",Kaiak
Ilía Completa Deo Parfum ,"R$ 159,90","R$ 79,90",Ilía
Ekos Frescor Maracujá Desodorante Colônia Feminino,"R$ 103,90","R$ 51,95",Ekos
Mamãe e Bebê Água de Colônia,"R$ 94,90","R$ 47,50",Mamãe e Bebê
Sabonete em Barra Puro Vegetal Tododia Macadâmia,"R$ 28,90","R$ 23,10",Tododia
Humor a Dois Desodorante Colônia,"R$ 134,90","R$ 67,50",Humor
Kaiak Feminino Desodorante Colônia,"R$ 155,90","R$ 77,90",Kaiak
Una Blush Deo Parfum,"R$ 269,00","R$ 179,90",Una
Creme Noturno Para o Corpo Tododia Todanoite,"R$ 65,90","R$ 33,00",Tododia
Conjunto Sabonetes em Barra Tododia,"R$ 115,60","R$ 95,60",Tododia
Sabonete em Barra Puro Vegetal Tododia Acerola e Hibisco,"R$ 28,90","R$ 23,10",Tododia
Kriska Desodorante Colônia,"R$ 129,90","R$ 64,90",Kriska
Kaiak Aventura Desodorante Colônia Masculino,"R$ 155,90","R$ 77,90",Kaiak
Essencial Supreme Deo Parfum Masculino,"R$ 239,00","R$ 143,00",Essencial
Refil Desodorante Corporal Biografia Masculino,"R$ 33,90","R$ 13,50",Biografia
Desodorante Antitranspirante Roll-on Tododia Macadâmia,"R$ 25,90","R$ 12,95",Tododia
Natura Homem Dom Deo Parfum,"R$ 187,90","R$ 112,90",Natura Homem
Creme Sorbet Desodorante Nutritivo Para o Corpo Tododia Manga Rosa e Água de Coco,"R$ 65,90","R$ 35,70",Tododia
Refil Creme Noturno Para o Corpo Tododia Todanoite,"R$ 47,50","R$ 23,75",Tododia
Refil Creme Desodorante Nutritivo Corporal Tododia Macadâmia,"R$ 47,50","R$ 28,50",Tododia
Natura Homem Essence Deo Parfum,"R$ 187,90","R$ 129,90",Natura Homem
Una Artisan Deo Parfum Feminino,"R$ 269,00","R$ 199,00",Una
Refil Desodorante Corporal Luna,"R$ 33,90","R$ 15,50",Luna
Kaiak Aventura Feminino Desodorante Colônia,"R$ 155,90","R$ 77,95",Kaiak
Refil Creme Desodorante Nutritivo Para o Corpo Tododia Cereja e Avelã ,"R$ 38,00","R$ 26,90",Tododia
Tododia Manga Rosa e Água de Coco Body splash Desodorante Colônia,"R$ 69,90","R$ 34,90",Tododia
Sabonete em Barra Puro Vegetal Tododia Alecrim e Sálvia,"R$ 28,90","R$ 24,90",Tododia
Essencial Único Deo Parfum Masculino,"R$ 288,00","R$ 192,90",Essencial
Essencial Oud Deo Parfum Feminino,"R$ 239,00","R$ 149,90",Essencial
Essencial Palo Santo Deo Parfum Feminino,"R$ 239,00","R$ 149,90",Essencial
Desodorante Corporal Natura Homem,"R$ 44,90","R$ 22,45",Natura Homem
Natura Homem Emocion.e Deo Parfum ,"R$ 248,00","R$ 148,90",Natura Homem
Sabonete em Barra Puro Vegetal Tododia Algodão,"R$ 28,90","R$ 25,90",Tododia
Polpa Hidratante para as Mãos Ekos Castanha,"R$ 52,50","R$ 26,30",Ekos
Desodorante Corporal Kaiak Masculino,"R$ 44,90","R$ 22,45",Kaiak
Natura Homem Tato Deo Parfum,"R$ 187,90","R$ 112,90",Natura Homem
Essencial Ato Deo Parfum Feminino ,"R$ 239,00","R$ 154,90",Essencial
Refil Creme Antissinais 60+ Dia,"R$ 108,90","R$ 54,45",Chronos
Sabonete em Barra Puro Vegetal Cremoso Ekos,"R$ 35,90","R$ 28,70",Ekos
Desodorante Antitranspirante em Creme Erva Doce,"R$ 27,90","R$ 13,95",Erva Doce
Essencial Supreme Feminino Deo Parfum,"R$ 239,00","R$ 143,00",Essencial
Kit Águas Flor de Laranjeira Natura Desodorante Colônia Feminino,"R$ 181,80","R$ 99,80",Águas
Polpa Desodorante Hidratante Para o Corpo Ekos Tukumã,"R$ 83,50","R$ 41,80",Ekos
Creme Nutritivo para as Mãos Tododia Noz Pecã e Cacau FPS 20,"R$ 31,50","R$ 15,75",Tododia
Presente Sabonete Ekos Maracujá,"R$ 28,90","R$ 26,90",Ekos
Presente Natura Kriska Jeans,"R$ 174,80","R$ 119,90",Kriska
Refil Gel Creme 45+ Dia,"R$ 108,90","R$ 54,45",Chronos
Presente Natura Tododia Acerola e Hibisco,"R$ 164,70","R$ 109,90",Tododia
Kit Lumina Antiqueda e Crescimento,"R$ 92,80","R$ 59,90",Lumina
Super Sérum Redutor de Rugas Chronos,"R$ 223,00","R$ 133,00",Chronos
Presente Natura Tododia Cereja e Avelã,"R$ 163,30","R$ 109,90",Tododia
Refil Creme Desodorante Nutritivo para o Corpo Tododia Amora Vermelha e Jabuticaba,"R$ 47,50","R$ 28,50",Tododia
Refil Desodorante Corporal Meu Primeiro Humor Feminino,"R$ 33,90","R$ 13,50",Humor
Refil Essencial Oud Deo Parfum Feminino,"R$ 186,00","R$ 111,90",Essencial
Combo Mamãe e Bebê Banho de Carinho,"R$ 107,60","R$ 85,90",Mamãe e Bebê
Kit Sève Óleo Desodorante Hidratante Amêndoas e Cereja,"R$ 199,80","R$ 99,80",Sève
Presente Natura Tododia Sabonetes em Barra Sortido,"R$ 33,50","R$ 29,90",Tododia
Conjunto Natura Tododia Sabonetes,"R$ 144,50","R$ 118,60",Tododia
Natura Homem Verse Deo Parfum,"R$ 187,90","R$ 93,90",Natura Homem
Paz e Humor Desodorante Colônia,"R$ 134,90","R$ 82,90",Humor
Sr. Natura Desodorante Colônia,"R$ 124,90","R$ 89,90",Sr. N
Óleo Trifásico Desodorante Corporal Ekos Maracujá,"R$ 83,90","R$ 42,00",Ekos
Polpa Hidratante para as Mãos Ekos Castanha,"R$ 35,50","R$ 17,75",Ekos
Presente Natura Tododia Macadâmia,"R$ 164,70","R$ 109,90",Tododia
Presente Natura Sève Amêndoas Doces,"R$ 160,80","R$ 99,90",Sève
Desodorante Corporal Masculino Kaiak Oceano,"R$ 44,90","R$ 22,45",Kaiak
Una Deo Parfum,"R$ 269,00","R$ 174,90",Una
Óleo Corporal Sève Amêndoas Doces ,"R$ 99,90","R$ 59,90",Sève
Kit Refil Creme Desodorante Nutritivo para o Corpo Tododia Algodão - 2 unidades,"R$ 95,00","R$ 61,60",Tododia
Desodorante Corporal Biografia Masculino,"R$ 44,90","R$ 22,45",Biografia
Kriska Drama Desodorante Colônia,"R$ 129,90","R$ 70,90",Kriska
Desodorante Corporal Kaiak Feminino,"R$ 44,90","R$ 22,45",Kaiak
Presente Natura Ekos Maracujá Cuidados,"R$ 119,00","R$ 89,90",Ekos
Refil Óleo Desodorante Corporal Sève Amêndoas Doces,"R$ 86,90","R$ 44,90",Sève
Presente Natura Kaiak Masculino,"R$ 236,20","R$ 164,90",Kaiak
Presente Natura Ekos Andiroba,"R$ 196,60","R$ 134,90",Ekos
Presente Natura Ilía,"R$ 243,30","R$ 174,90",Ilía
Refil Deo Parfum Essencial Exclusivo Feminino,"R$ 186,00","R$ 99,90",Essencial
Refil Creme Desodorante Nutritivo para o Corpo Tododia Tâmara e Canela,"R$ 47,50","R$ 28,50",Tododia
Sabonete em Barra Puro Vegetal Tododia Manga Rosa e Água De Coco,"R$ 28,90","R$ 25,90",Tododia
Néctar Hidratante Para as Mãos Ekos Maracujá,"R$ 52,50","R$ 26,30",Ekos
Sintonia Instinto Desodorante Colônia Masculino,"R$ 171,90","R$ 85,90",Sintonia
Ekos Frescor Moça Desodorante Colônia,"R$ 103,90","R$ 46,90",Ekos
Desodorante Antitranspirante em Creme Tododia Manga Rosa e Água de Coco,"R$ 27,90","R$ 13,95",Tododia
Esfoliante Antissinais Chronos,"R$ 70,90","R$ 35,45",Chronos
Presente Natura Essencial Elixir Masculino,"R$ 274,00","R$ 189,90",Essencial
Humor a Rigor Desodorante Colônia Masculino,"R$ 134,90","R$ 134,90",Humor
Sérum Intensivo Lifting & Firmeza Chronos,"R$ 176,50","R$ 103,90",Chronos
Desodorante Antitranspirante Roll-On Natura Homem Sagaz,"R$ 25,90","R$ 12,95",Natura Homem
Kit Desodorante Corporal Essencial Masculino Refil,"R$ 103,10","R$ 58,90",Essencial
Sabonete em Barra Puro Vegetal Ekos Cremoso e Esfoliante Tukumã,"R$ 35,90","R$ 25,10",Ekos
Creme Desodorante Nutritivo para o Corpo Tododia Noz Pecã e Cacau,"R$ 44,50","R$ 22,30",Tododia
Refil Óleo Trifásico Desodorante Corporal Ekos Andiroba ,"R$ 65,90","R$ 33,00",Ekos
Sabonete em Barra Natura Homem,"R$ 29,90","R$ 26,91",Natura Homem
